id,board_size,side_to_move,board,source,move_count,label_type,value_target,policy_target,notes
old_g1_m44,15,black,". . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . X X . . . . . . . . . .
X O O O O X O . . . . . . . .
. . X O O O O X X . . . . . .
. . X . O X X O . . . . . . .
. . . X X X O X . . . . . . .
. . . X O X X X . . . . . . .
. . . X O O O X . . . . . . .
. . . O O O O X . . . . . . .
. . . . . . O O . . . . . . .
. . . . . . . . X . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .",v11_labeled_rapfi_failure_set,44,old_immediate_block_regression,-1.0,"2,10","preserve original v12 direct-block repair; opponent immediate win at 2,10; direct did not block; final blocked via MCTS/safety while value remained near neutral"
old_g1_m46,15,black,". . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . X X . . . . . . . . . .
X O O O O X O . . . . . . . .
. . X O O O O X X . . . . . .
. . X . O X X O . . . . . . .
. . . X X X O X . . . . . . .
. . . X O X X X . . . . . . .
. . . X O O O X . . . . . . .
. . X O O O O X . . . . . . .
. . . . O . O O . . . . . . .
. . . . . . . . X . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .",v11_labeled_rapfi_failure_set,46,old_immediate_block_regression,-1.0,"4,12","preserve original v12 direct-block repair; opponent immediate win at 4,12; direct did not block; final blocked via MCTS/safety while value remained near neutral"
old_g1_m48,15,black,". . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . X X . . . . . . . . . .
X O O O O X O . . . . . . . .
. . X O O O O X X . . . . . .
. . X . O X X O . . . . . . .
. . . X X X O X . . . . . . .
. . . X O X X X . . . . . . .
. . . X O O O X . . . . . . .
. . X O O O O X . . . . . . .
. . . . O O O O . . . . . . .
. . . . X . . . X . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .",v11_labeled_rapfi_failure_set,48,verified_double_threat_loss,-1.0,,"verified old double-threat loss; opponent had two immediate winning moves 3,11 and 8,11; final blocked only one"
old_g2_m29,15,white,". . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . O O . . . . O . . . . .
. . . . X O O O X . . . . . .
. . . O X X X X O . . . . . .
. . . X X O X X O X . . . . .
. . . . . O . X X . . . . . .
. . . . X . . O O X . . . . .
. . . . . . . . . . O . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .",v11_labeled_rapfi_failure_set,29,old_immediate_block_regression,,"4,9","preserve original v12 direct-block repair; opponent immediate win at 4,9; direct did not block; final blocked via MCTS/safety; value was already strongly negative"
old_g2_m33,15,white,". . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . O O . . . . O . . . . .
. . . . X O O O X . . . . . .
. . . O X X X X O X . . . . .
. . . X X O X X O X . . . . .
. . . . O O . X X X O . . . .
. . . . X . . O O X . . . . .
. . . . . . . . . . O . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .",v11_labeled_rapfi_failure_set,33,verified_double_threat_loss,-1.0,,"verified old double-threat loss; opponent had two immediate winning moves 9,6 and 9,11; final blocked only one"
v12_g1_m12,15,black,". . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . O O X . . . . . . . .
. . . . . O O . . . . . . . .
. . . . X O X . . . . . . . .
. . . . X X O X . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .",v12_candidate_rapfi_forcing_line,12,early_forcing_value_negative,-0.5,,value-focused early forcing-line repair; no policy target without manual safer-move audit
v12_g1_m14,15,black,". . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . O O X . . . . . . . .
. . . O . O O . . . . . . . .
. . . . X O X . . . . . . . .
. . . . X X O X . . . . . . .
. . . . . . X . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .",v12_candidate_rapfi_forcing_line,14,early_forcing_value_negative,-0.5,,value-focused early forcing-line repair; no policy target without manual safer-move audit
v12_g1_m16,15,black,". . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . O . . . . . . . . .
. . . . O O X . . . . . . . .
. . . O X O O . . . . . . . .
. . . . X O X . . . . . . . .
. . . . X X O X . . . . . . .
. . . . . . X . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .",v12_candidate_rapfi_forcing_line,16,early_forcing_value_negative,-0.7,,value-focused early forcing-line repair; no policy target without manual safer-move audit
v12_g1_m18,15,black,". . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . X O . . . . . . . .
. . . . . O . . . . . . . . .
. . . . O O X . . . . . . . .
. . . O X O O . . . . . . . .
. . . . X O X . . . . . . . .
. . . . X X O X . . . . . . .
. . . . . . X . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .",v12_candidate_rapfi_forcing_line,18,early_forcing_value_negative,-0.7,,value-focused early forcing-line repair; no policy target without manual safer-move audit
v12_g2_m31,15,white,". . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . X . . . . . . . . . .
. . . O O . . . . O . . . . .
. . . . X O O O X . . . . . .
. . . O X X X X O . . . . . .
. . . X X O X X O X . . . . .
. . . . O O . X X X . . . . .
. . . . . . . O O X . . . . .
. . . . . . . . . . O . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .
. . . . . . . . . . . . . . .",v12_candidate_rapfi_pre_double_threat,31,pre_double_threat_warning,-0.75,,moderate negative value for pre-double-threat warning; no policy target without audit
